INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
2783,1855,0,0.6665,0.0,0.0,103,74,0.7184,0.037,0.0555,0.0541,216,108,0.5,0.0776,0.1164,0.0,3889,2503,0.6436,1.3974,2.0965,0.3463,0,0,0.9889,0.0,0.0,0.0001,0,0,0.6022,0.0,0.0,0.0,430,220,0.5116,0.1545,0.2318,0.3122,0,0,0.5582,0.0,0.0,0.0772,0,0,0.5062,0.0,0.0,0.0,0,0,0.4798,0.0,0.0,0.0148,0,0,0.4804,0.0,0.0,0.0,0,0,0.5005,0.0,0.0,0.1537,4638,2905,0.6263,1.6665,2.5003,0.0,No,0,0,0,1,0,570,0
314430,445442,707468,1.4167,2.25,1.5882,35861,29157,0.8131,0.1141,0.0805,0.0507,0,0,0.5019,0.0,0.0,0.0,37425,19082,0.5099,0.119,0.084,0.0529,0,0,0.8885,0.0,0.0,0.0,18912,11780,0.6229,0.0601,0.0425,0.0267,49532,29779,0.6012,0.1575,0.1112,0.07,32654,25322,0.7755,0.1039,0.0733,0.0462,52959,26803,0.5061,0.1684,0.1189,0.0749,15004,8193,0.5461,0.0477,0.0337,0.0212,0,0,0.4805,0.0,0.0,0.0,19678,9914,0.5038,0.0626,0.0442,0.0278,262025,160030,0.6107,0.8333,0.5882,0.3704,High,1,0,1,1,0,691,0
161773,517674,2782496,3.2,17.2,5.375,3716,2533,0.6816,0.023,0.0072,0.0013,0,0,0.5025,0.0,0.0,0.0,10547,7015,0.6651,0.0652,0.0204,0.0038,0,0,0.4574,0.0,0.0,0.0,0,0,0.4755,0.0,0.0,0.0,55654,28867,0.5187,0.344,0.1075,0.02,12124,7004,0.5777,0.0749,0.0234,0.0044,59371,30048,0.5061,0.367,0.1147,0.0213,5982,2995,0.5007,0.037,0.0116,0.0021,0,0,0.5822,0.0,0.0,0.0,14379,7184,0.4996,0.0889,0.0278,0.0052,161773,85646,0.5294,1.0,0.3125,0.0581,No,1,1,1,1,1,520,0
16014,97685,20818,6.1,1.3,0.2131,637,187,0.2936,0.0398,0.0065,0.0306,0,0,0.5005,0.0,0.0,0.0,5318,2724,0.5122,0.3321,0.0544,0.2555,0,0,0.9767,0.0,0.0,0.0,0,0,0.497,0.0,0.0,0.0,5366,2282,0.4253,0.3351,0.0549,0.2578,1983,564,0.2844,0.1238,0.0203,0.0953,0,0,0.5061,0.0,0.0,0.0,288,144,0.5,0.018,0.0029,0.0138,0,0,0.5353,0.0,0.0,0.0,2422,1220,0.5037,0.1512,0.0248,0.1163,16014,7121,0.4447,1.0,0.1639,0.7692,No,1,0,0,1,0,654,0
193225,1410542,2589215,7.3,13.4,1.8356,5276,2325,0.4407,0.0273,0.0037,0.002,33375,16733,0.5014,0.1727,0.0237,0.0129,12255,7750,0.6324,0.0634,0.0087,0.0047,0,0,0.5094,0.0,0.0,0.0,0,0,0.4913,0.0,0.0,0.0,63812,30587,0.4793,0.3302,0.0452,0.0246,9627,1182,0.1228,0.0498,0.0068,0.0037,0,0,0.5061,0.0,0.0,0.0,7431,3720,0.5006,0.0385,0.0053,0.0029,43552,16542,0.3798,0.2254,0.0309,0.0168,17897,8975,0.5015,0.0926,0.0127,0.0069,193225,87814,0.4545,1.0,0.137,0.0746,No,1,1,0,1,1,552,0
473959,1218751,1354168,2.5714,2.8571,1.1111,17454,7279,0.417,0.0368,0.0143,0.0129,0,0,0.5029,0.0,0.0,0.0,47750,28864,0.6045,0.1007,0.0392,0.0353,0,0,0.6363,0.0,0.0,0.0,0,0,0.4421,0.0,0.0,0.0,41416,21405,0.5168,0.0874,0.034,0.0306,9576,2421,0.2528,0.0202,0.0079,0.0071,53912,27284,0.5061,0.1137,0.0442,0.0398,16658,8339,0.5006,0.0351,0.0137,0.0123,131793,71554,0.5429,0.2781,0.1081,0.0973,19983,10010,0.5009,0.0422,0.0164,0.0148,338542,177156,0.5233,0.7143,0.2778,0.25,No,1,0,1,1,0,800,0
55889,430345,5589,7.7,0.1,0.013,2553,1954,0.7654,0.0457,0.0059,0.4568,0,0,0.5018,0.0,0.0,0.0,6801,3442,0.5061,0.1217,0.0158,1.2169,0,0,1.1675,0.0,0.0,0.0,570,318,0.5579,0.0102,0.0013,0.102,8735,4647,0.532,0.1563,0.0203,1.5629,6061,3019,0.4981,0.1084,0.0141,1.0845,0,0,0.506,0.0,0.0,0.0,341,155,0.4545,0.0061,0.0008,0.061,27661,18311,0.662,0.4949,0.0643,4.9492,3167,1591,0.5024,0.0567,0.0074,0.5666,55889,33437,0.5983,1.0,0.1299,9.9998,Low,1,0,0,1,0,632,0
80896,145613,0,1.8,0.0,0.0,5065,173,0.0342,0.0626,0.0348,0.0915,6544,3286,0.5021,0.0809,0.0449,0.0,25008,15133,0.6051,0.3091,0.1717,0.246,0,0,0.8854,0.0,0.0,0.0,0,0,0.4732,0.0,0.0,0.0,5554,2283,0.4111,0.0687,0.0381,0.0084,2118,178,0.084,0.0262,0.0145,0.0332,0,0,0.5059,0.0,0.0,0.2631,2493,1362,0.5463,0.0308,0.0171,0.0144,30833,7325,0.2376,0.3811,0.2117,0.0,3281,1652,0.5035,0.0406,0.0225,0.0519,80896,31392,0.3881,1.0,0.5556,0.9125,No,0,0,0,1,0,663,0
158055,244266,1350648,1.5454,8.5454,5.5294,7859,2865,0.3646,0.0497,0.0322,0.0058,10119,5095,0.5035,0.064,0.0414,0.0075,30364,15570,0.5128,0.1921,0.1243,0.0225,0,0,0.8983,0.0,0.0,0.0,0,0,0.5251,0.0,0.0,0.0,10418,5390,0.5174,0.0659,0.0427,0.0077,3033,1234,0.4069,0.0192,0.0124,0.0022,0,0,0.5061,0.0,0.0,0.0,4211,2108,0.5006,0.0266,0.0172,0.0031,72611,41228,0.5678,0.4594,0.2973,0.0538,5071,2547,0.5023,0.0321,0.0208,0.0038,143686,76037,0.5292,0.9091,0.5882,0.1064,No,1,0,0,1,0,566,0
164658,120749,1284332,0.7333,7.8,10.6364,19797,13798,0.697,0.1202,0.164,0.0154,0,0,0.5026,0.0,0.0,0.0,17512,8928,0.5098,0.1064,0.145,0.0136,0,0,0.0,0.0,0.0,0.0,0,0,0.4902,0.0,0.0,0.0,23643,14445,0.611,0.1436,0.1958,0.0184,7956,4726,0.594,0.0483,0.0659,0.0062,24701,12501,0.5061,0.15,0.2046,0.0192,6998,3821,0.546,0.0425,0.058,0.0054,0,0,0.3031,0.0,0.0,0.0,9165,4593,0.5011,0.0557,0.0759,0.0071,109772,62812,0.5722,0.6667,0.9091,0.0855,No,1,1,0,1,0,584,1
185860,1412536,1040816,7.6,5.6,0.7368,7797,3923,0.5031,0.042,0.0055,0.0075,0,0,0.5038,0.0,0.0,0.0,5944,3014,0.5071,0.032,0.0042,0.0057,0,0,0.7734,0.0,0.0,0.0,1705,627,0.3677,0.0092,0.0012,0.0016,51332,29672,0.578,0.2762,0.0363,0.0493,12577,7117,0.5659,0.0677,0.0089,0.0121,48122,24355,0.5061,0.2589,0.0341,0.0462,4848,2427,0.5006,0.0261,0.0034,0.0047,41869,21098,0.5039,0.2253,0.0296,0.0402,11666,5859,0.5022,0.0628,0.0083,0.0112,185860,98092,0.5278,1.0,0.1316,0.1786,High,1,0,0,1,1,551,1
