INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
44768,40698,773262,0.9091,17.2727,19.0,1456,985,0.6765,0.0325,0.0358,0.0019,8018,4033,0.503,0.1791,0.197,0.0104,3019,1527,0.5058,0.0674,0.0742,0.0039,0,0,0.8714,0.0,0.0,0.0,1371,682,0.4974,0.0306,0.0337,0.0018,4992,2932,0.5873,0.1115,0.1227,0.0065,1034,724,0.7002,0.0231,0.0254,0.0013,0,0,0.5059,0.0,0.0,0.0,0,0,0.4957,0.0,0.0,0.0,19896,13786,0.6929,0.4444,0.4889,0.0257,912,459,0.5033,0.0204,0.0224,0.0012,40698,25128,0.6174,0.9091,1.0,0.0526,High,1,0,0,1,0,453,1
17371,129317,25091,7.4444,1.4444,0.194,527,330,0.6262,0.0303,0.0041,0.021,0,0,0.5006,0.0,0.0,0.0,2931,1808,0.6169,0.1687,0.0227,0.1168,0,0,0.6895,0.0,0.0,0.0,201,117,0.5821,0.0116,0.0016,0.008,2342,1019,0.4351,0.1348,0.0181,0.0933,1823,869,0.4767,0.1049,0.0141,0.0727,4669,2363,0.5061,0.2688,0.0361,0.1861,120,60,0.5,0.0069,0.0009,0.0048,5657,2554,0.4515,0.3257,0.0437,0.2255,1031,521,0.5053,0.0594,0.008,0.0411,19301,9641,0.4995,1.1111,0.1493,0.7692,Low,1,0,0,1,0,643,0
263264,702038,658161,2.6667,2.5,0.9375,30806,21959,0.7128,0.117,0.0439,0.0468,6526,3280,0.5026,0.0248,0.0093,0.0099,26679,14540,0.545,0.1013,0.038,0.0405,0,0,1.0878,0.0,0.0,0.0,0,0,0.5132,0.0,0.0,0.0,29993,16910,0.5638,0.1139,0.0427,0.0456,15595,10928,0.7007,0.0592,0.0222,0.0237,0,0,0.5061,0.0,0.0,0.0,9069,3632,0.4005,0.0344,0.0129,0.0138,87627,47460,0.5416,0.3328,0.1248,0.1331,13092,6599,0.504,0.0497,0.0186,0.0199,219387,125308,0.5712,0.8333,0.3125,0.3333,No,1,1,0,1,0,582,1
82514,115520,651861,1.4,7.9,5.6428,1614,1614,1.0,0.0196,0.014,0.0025,0,0,0.5042,0.0,0.0,0.0,21928,11275,0.5142,0.2657,0.1898,0.0336,271,0,1.5019,0.0033,0.0023,0.0004,13839,6988,0.5049,0.1677,0.1198,0.0212,6040,2394,0.3964,0.0732,0.0523,0.0093,1060,626,0.5906,0.0128,0.0092,0.0016,0,0,0.5061,0.0,0.0,0.0,2516,1260,0.5008,0.0305,0.0218,0.0039,31613,9997,0.3162,0.3831,0.2737,0.0485,3633,1831,0.504,0.044,0.0314,0.0056,82514,35985,0.4361,1.0,0.7143,0.1266,High,1,0,0,1,0,570,0
4574,3268,0,0.7145,0.0,0.0,83,49,0.5904,0.0181,0.0254,0.1202,0,0,0.5024,0.0,0.0,0.0792,2114,1074,0.508,0.4622,0.6469,0.2829,0,0,0.6276,0.0,0.0,0.0,0,0,0.5173,0.0,0.0,0.0,342,180,0.5263,0.0748,0.1047,0.3022,0,0,0.6113,0.0,0.0,0.0,0,0,0.506,0.0,0.0,0.4477,0,0,0.4479,0.0,0.0,0.0,3996,2118,0.53,0.8736,1.2228,0.4151,0,0,0.5053,0.0,0.0,0.0103,6535,3421,0.5235,1.4287,1.9997,0.743,No,0,0,0,1,0,636,1
10600,2120,217300,0.2,20.5,102.5,334,84,0.2515,0.0315,0.1575,0.0015,0,0,0.5037,0.0,0.0,0.0,1672,850,0.5084,0.1577,0.7887,0.0077,109,65,0.5963,0.0103,0.0514,0.0005,0,0,0.4524,0.0,0.0,0.0,2157,1016,0.471,0.2035,1.0175,0.0099,230,55,0.2391,0.0217,0.1085,0.0011,0,0,0.5062,0.0,0.0,0.0,0,0,0.5043,0.0,0.0,0.0,5589,1402,0.2508,0.5273,2.6363,0.0257,509,257,0.5049,0.048,0.2401,0.0023,10600,3729,0.3518,1.0,5.0,0.0488,No,1,1,0,1,0,485,1
97109,135953,699185,1.4,7.2,5.1428,5192,1179,0.2271,0.0535,0.0382,0.0074,8166,4104,0.5026,0.0841,0.0601,0.0117,24485,12382,0.5057,0.2521,0.1801,0.035,0,0,0.6728,0.0,0.0,0.0,0,0,0.5162,0.0,0.0,0.0,8277,4217,0.5095,0.0852,0.0609,0.0118,1468,505,0.344,0.0151,0.0108,0.0021,0,0,0.5061,0.0,0.0,0.0,3087,1686,0.5462,0.0318,0.0227,0.0044,42357,13223,0.3122,0.4362,0.3116,0.0606,4077,2048,0.5023,0.042,0.03,0.0058,97109,39344,0.4052,1.0,0.7143,0.1389,No,1,0,0,1,0,600,0
16383,14335,163832,0.875,10.0001,11.4288,1013,763,0.7532,0.0618,0.0707,0.0062,0,0,0.5046,0.0,0.0,0.0,3082,1939,0.6291,0.1881,0.215,0.0188,0,0,0.8936,0.0,0.0,0.0,1053,552,0.5242,0.0643,0.0735,0.0064,4084,2466,0.6038,0.2493,0.2849,0.0249,664,490,0.738,0.0405,0.0463,0.0041,0,0,0.5059,0.0,0.0,0.0,0,0,0.4409,0.0,0.0,0.0,9864,5904,0.5985,0.6021,0.6881,0.0602,719,360,0.5007,0.0439,0.0502,0.0044,20479,12474,0.6091,1.25,1.4286,0.125,High,1,0,0,1,0,462,0
132718,627396,1278922,4.7273,9.6364,2.0385,7493,6485,0.8655,0.0565,0.0119,0.0059,0,0,0.5033,0.0,0.0,0.0,8866,5876,0.6628,0.0668,0.0141,0.0069,0,0,1.0639,0.0,0.0,0.0,1727,1030,0.5964,0.013,0.0028,0.0014,46571,24121,0.5179,0.3509,0.0742,0.0364,4352,0,0.4854,0.0328,0.0069,0.0034,0,0,0.5061,0.0,0.0,0.0,4573,2082,0.4553,0.0345,0.0073,0.0036,35027,20471,0.5844,0.2639,0.0558,0.0274,12044,6076,0.5045,0.0907,0.0192,0.0094,120653,66141,0.5482,0.9091,0.1923,0.0943,High,1,0,0,1,1,512,1
103494,630370,112902,6.0909,1.0909,0.1791,2250,1385,0.6156,0.0217,0.0036,0.0199,0,0,0.5065,0.0,0.0,0.0,13409,8681,0.6474,0.1296,0.0213,0.1188,0,0,0.131,0.0,0.0,0.0,842,389,0.462,0.0081,0.0013,0.0075,11886,6120,0.5149,0.1148,0.0189,0.1053,8375,4244,0.5067,0.0809,0.0133,0.0742,20202,10224,0.5061,0.1952,0.032,0.1789,528,264,0.5,0.0051,0.0008,0.0047,32136,18452,0.5742,0.3105,0.051,0.2846,4457,2258,0.5066,0.0431,0.0071,0.0395,94085,52017,0.5529,0.9091,0.1493,0.8333,Low,1,0,0,1,0,625,0
